event_start_dtm	event_end_dtm	event_description	event_hours
03/14/2022 07:00PM	03/14/2022 08:00PM	Python class - Monday	1
03/15/2022 07:00AM	03/15/2022 08:00AM	Python class - Tuesday	1
03/18/2022 07:00AM	03/18/2022 08:00AM	Java class - Friday	1
03/21/2022 03:00PM	03/21/2022 04:00PM	Java class ( 1 on 1) - Monday	1
03/21/2022 07:00PM	03/21/2022 08:00PM	Python class - Monday	1
03/22/2022 07:00PM	03/22/2022 08:00PM	Python class - Tuesday	1
03/24/2022 03:00PM	03/24/2022 04:00PM	Java class ( 1 on 1) - Thursday	1
03/25/2022 07:00PM	03/25/2022 08:00PM	Java class - Friday	1
03/28/2022 03:00PM	03/28/2022 04:00PM	Java class ( 1 on 1) - Monday	1
03/28/2022 07:00PM	03/28/2022 08:00PM	Python class - Monday	1
03/29/2022 07:00PM	03/29/2022 08:00PM	Python class - Tuesday	1
03/31/2022 03:00PM	03/31/2022 04:00PM	Java class ( 1 on 1) - Thursday	1
04/01/2022 07:00PM	04/01/2022 08:00PM	Java class - Friday	1
04/04/2022 03:00PM	04/04/2022 04:00PM	Java class ( 1 on 1) - Monday	1
04/04/2022 07:00PM	04/04/2022 08:00PM	Python class - Monday	1
04/05/2022 07:00PM	04/05/2022 08:00PM	Python class - Tuesday	1
04/07/2022 03:00PM	04/07/2022 04:00PM	Java class ( 1 on 1) - Thursday	1
04/08/2022 07:00PM	04/08/2022 08:00PM	Java class - Friday	1
04/11/2022 03:00PM	04/11/2022 04:00PM	Java class ( 1 on 1) - Monday	1
04/11/2022 07:00PM	04/11/2022 08:00PM	Python class - Monday	1
04/12/2022 07:00PM	04/12/2022 08:00PM	Python class - Tuesday	1
04/14/2022 03:00PM	04/14/2022 04:00PM	Java class ( 1 on 1) - Thursday	1
04/15/2022 07:00PM	04/15/2022 08:00PM	Java class - Friday	1
04/18/2022 03:00PM	04/18/2022 04:00PM	Java class ( 1 on 1) - Monday	1
04/18/2022 07:00PM	04/18/2022 08:00PM	Python class - Monday	1
04/19/2022 07:00PM	04/19/2022 08:00PM	Python class - Tuesday	1
04/21/2022 03:00PM	04/21/2022 04:00PM	Java class ( 1 on 1) - Thursday	1
04/22/2022 07:00PM	04/22/2022 08:00PM	Java class - Friday	1
04/25/2022 03:00PM	04/25/2022 04:00PM	Java class ( 1 on 1) - Monday	1
04/25/2022 07:00PM	04/25/2022 08:00PM	Python class - Monday	1
04/26/2022 07:00PM	04/26/2022 08:00PM	Python class - Tuesday	1
04/28/2022 03:00PM	04/28/2022 04:00PM	Java class ( 1 on 1) - Thursday	1
04/29/2022 07:00PM	04/29/2022 08:00PM	Java class - Friday	1
05/02/2022 03:00PM	05/02/2022 04:00PM	Java class ( 1 on 1) - Monday	1
05/02/2022 07:00PM	05/02/2022 08:00PM	Python class - Monday	1
05/03/2022 07:00PM	05/03/2022 08:00PM	Python class - Tuesday	1
05/05/2022 03:00PM	05/05/2022 04:00PM	Java class ( 1 on 1) - Thursday	1
05/06/2022 07:00PM	05/06/2022 08:00PM	Java class - Friday	1
05/09/2022 07:00PM	05/09/2022 08:00PM	Python class - Monday	1
05/10/2022 03:00PM	05/10/2022 04:00PM	Java class ( 1 on 1) - Tuesday	1
05/10/2022 07:00PM	05/10/2022 08:00PM	Python class - Tuesday	1
05/12/2022 03:00PM	05/12/2022 04:00PM	Java class ( 1 on 1) - Thursday	1
05/13/2022 07:00PM	05/13/2022 08:00PM	Java class - Friday	1
05/16/2022 07:00PM	05/16/2022 08:00PM	Python class - Monday	1
05/17/2022 03:00PM	05/17/2022 04:00PM	Java class ( 1 on 1) - Tuesday	1
05/17/2022 07:00PM	05/17/2022 08:00PM	Python class - Tuesday	1
05/19/2022 03:00PM	05/19/2022 04:00PM	Java class ( 1 on 1) - Thursday	1
05/20/2022 07:00PM	05/20/2022 08:00PM	Java class - Friday	1
05/23/2022 07:00PM	05/23/2022 08:00PM	Python class - Monday	1
05/24/2022 03:00PM	05/24/2022 04:00PM	Java class ( 1 on 1) - Tuesday	1
05/24/2022 07:00PM	05/24/2022 08:00PM	Python class - Tuesday	1
05/26/2022 03:00PM	05/26/2022 04:00PM	Java class ( 1 on 1) - Thursday	1
05/31/2022 03:00PM	05/31/2022 04:00PM	Java class ( 1 on 1) - Tuesday	1
05/31/2022 07:00PM	05/31/2022 08:00PM	Python class - Tuesday	1
06/02/2022 03:00PM	06/02/2022 04:00PM	Java class ( 1 on 1) - Thursday	1
06/03/2022 07:00PM	06/03/2022 08:00PM	Java class - Friday	1
06/06/2022 07:00PM	06/06/2022 08:00PM	Python class - Monday	1
06/07/2022 03:00PM	06/07/2022 04:00PM	Java class ( 1 on 1) - Tuesday	1
06/07/2022 07:00PM	06/07/2022 08:00PM	Python class - Tuesday	1
06/09/2022 03:00PM	06/09/2022 04:00PM	Java class ( 1 on 1) - Thursday	1
06/10/2022 07:00PM	06/10/2022 08:00PM	Java class - Friday	1
06/13/2022 07:00PM	06/13/2022 08:00PM	Python class - Monday	1
06/14/2022 03:00PM	06/14/2022 04:00PM	Java class ( 1 on 1) - Tuesday	1
06/16/2022 03:00PM	06/16/2022 04:00PM	Java class ( 1 on 1) - Thursday	1
06/21/2022 03:00PM	06/21/2022 04:00PM	Java class ( 1 on 1) - Tuesday	1
06/23/2022 03:00PM	06/23/2022 04:00PM	Java class ( 1 on 1) - Thursday	1
06/30/2022 03:00PM	06/30/2022 04:00PM	Java class ( 1 on 1) - Thursday	1
07/05/2022 03:00PM	07/05/2022 04:00PM	html/css class ( 1 on 1) - Tuesday	1
07/07/2022 03:00PM	07/07/2022 04:00PM	html/css class ( 1 on 1) - Thursday	1
07/12/2022 03:00PM	07/12/2022 04:00PM	html/css class ( 1 on 1) - Tuesday	1
07/14/2022 03:00PM	07/14/2022 04:00PM	html/css class ( 1 on 1) - Thursday	1
07/19/2022 03:00PM	07/19/2022 04:00PM	html/css class ( 1 on 1) - Tuesday	1
07/21/2022 03:00PM	07/21/2022 04:00PM	html/css class ( 1 on 1) - Thursday	1
07/26/2022 03:00PM	07/26/2022 04:00PM	html/css class ( 1 on 1) - Tuesday	1
07/28/2022 03:00PM	07/28/2022 04:00PM	html/css class ( 1 on 1) - Thursday	1
08/09/2022 03:00PM	08/09/2022 04:00PM	html/css class ( 1 on 1) - Tuesday	1
08/11/2022 03:00PM	08/11/2022 04:00PM	html/css class ( 1 on 1) - Thursday	1
08/18/2022 03:00PM	08/18/2022 04:00PM	html/css class ( 1 on 1) - Thursday	1
08/23/2022 03:00PM	08/23/2022 04:00PM	html/css class ( 1 on 1) - Tuesday	1
08/25/2022 03:00PM	08/25/2022 04:00PM	html/css class ( 1 on 1) - Thursday	1
08/30/2022 03:00PM	08/30/2022 04:00PM	JavaScript class ( 1 on 1) - Tuesday	1
09/01/2022 03:00PM	09/01/2022 04:00PM	JavaScript class ( 1 on 1) - Thursday	1
09/06/2022 03:00PM	09/06/2022 04:00PM	JavaScript class ( 1 on 1) - Tuesday	1
09/08/2022 03:00PM	09/08/2022 04:00PM	JavaScript class ( 1 on 1) - Thursday	1
09/13/2022 06:00PM	09/13/2022 07:00PM	JavaScript class ( 1 on 1) - Tuesday	1
09/20/2022 06:00PM	09/20/2022 07:00PM	JavaScript class ( 1 on 1) - Tuesday	1
